prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,n_cand,win,votes,vshare,magnitude
鳥取・島根,谷口 直矢,たにぐち なおや,谷口,直矢,たにぐち,なおや,47,諸派,NA,新,0,5,0,7952,1.45,1
岡山,国友 彩葉,くにとも さよ,国友,彩葉,くにとも,さよ,33,立憲,NA,新,0,4,0,283799,35.41,1
岡山,広森 志穂,ひろもり しほ,広森,志穂,ひろもり,しほ,34,参政,NA,新,0,4,0,192606,24.03,1
岡山,小林 孝一郎,こばやし こういちろう,小林,孝一郎,こばやし,こういちろう,47,自民,公明,新,0,4,1,307556,38.37,1
岡山,岩田 好明,いわた よしあき,岩田,好明,いわた,よしあき,57,諸派,NA,新,0,4,0,17558,2.19,1
広島,産原 稔文,うぶはら としふみ,産原,稔文,うぶはら,としふみ,57,無所,NA,新,0,10,0,17094,1.45,2
広島,高見 篤己,たかみ あつみ,高見,篤己,たかみ,あつみ,73,共産,NA,新,0,10,0,51179,4.34,2
広島,森本 真治,もりもと しんじ,森本,真治,もりもと,しんじ,52,立憲,NA,現,2,10,1,303928,25.77,2
広島,西田 英範,にした ひでのり,西田,英範,にした,ひでのり,43,自民,公明,新,0,10,1,399640,33.89,2
広島,谷本 誠一,たにもと せいいち,谷本,誠一,たにもと,せいいち,69,諸派,NA,新,0,10,0,26947,2.29,2
広島,玉田 憲勲,たまだ のりたか,玉田,憲勲,たまだ,のりたか,67,無所,NA,新,0,10,0,13598,1.15,2
広島,小石 美千代,こいし みちよ,小石,美千代,こいし,みちよ,56,参政,NA,新,0,10,0,251370,21.32,2
広島,堤 美登里,つつみ みどり,堤,美登里,つつみ,みどり,68,諸派,NA,新,0,10,0,16164,1.37,2
広島,楾 大樹,はんどう たいき,楾,大樹,はんどう,たいき,50,れいわ,NA,新,0,10,0,92896,7.88,2
広島,上子 亨,うえこ とおる,上子,亨,うえこ,とおる,48,無所,NA,新,0,10,0,6469,0.55,2
山口,北村 経夫,きたむら つねお,北村,経夫,きたむら,つねお,70,自民,NA,現,3,5,1,225617,38.67,1
山口,山崎 珠江,やまさき たまえ,山崎,珠江,やまさき,たまえ,47,参政,NA,新,0,5,0,131192,22.48,1
山口,奥野 信治,おくの しんじ,奥野,信治,おくの,しんじ,47,諸派,NA,新,0,5,0,8807,1.51,1
山口,戸倉 多香子,とくら たかこ,戸倉,多香子,とくら,たかこ,66,無所,NA,新,0,5,0,91447,15.67,1
山口,関谷 拓馬,せきたに たくま,関谷,拓馬,せきたに,たくま,35,国民,NA,新,0,5,0,126425,21.67,1
徳島・高知,大石 宗,おおいし しゅう,大石,宗,おおいし,しゅう,44,自民,公明,新,0,4,0,201619,33.35,1
徳島・高知,広田 一,ひろた はじめ,広田,一,ひろた,はじめ,56,無所,NA,現,3,4,1,264891,43.82,1
徳島・高知,金城 幹泰,きんじょう みきひろ,金城,幹泰,きんじょう,みきひろ,43,参政,NA,新,0,4,0,123070,20.36,1
徳島・高知,中島 康治,なかじま やすはる,中島,康治,なかじま,やすはる,46,諸派,NA,新,0,4,0,14897,2.46,1
香川,町川 順子,まちかわ じゅんこ,町川,順子,まちかわ,じゅんこ,66,無所,NA,新,0,6,0,21404,4.94,1
香川,原田 秀一,はらだ ひでかず,原田,秀一,はらだ,ひでかず,52,国民,NA,新,0,6,1,174728,40.35,1
香川,小林 直美,こばやし なおみ,小林,直美,こばやし,なおみ,51,参政,NA,新,0,6,0,62789,14.5,1
香川,三宅 伸吾,みやけ しんご,三宅,伸吾,みやけ,しんご,63,自民,公明,現,2,6,0,149902,34.62,1
香川,長尾 真希,ながお まさき,長尾,真希,ながお,まさき,36,共産,NA,新,0,6,0,19083,4.41,1
香川,野呂 美和子,のろ みわこ,野呂,美和子,のろ,みわこ,61,諸派,NA,新,0,6,0,5085,1.17,1
愛媛,永江 孝子,ながえ たかこ,永江,孝子,ながえ,たかこ,65,無所,NA,現,1,5,1,287853,47.2,1
愛媛,上野 由佳,うえの ゆか,上野,由佳,うえの,ゆか,30,自民,公明,新,0,5,0,173890,28.51,1
愛媛,原田 慎太郎,はらだ しんたろう,原田,慎太郎,はらだ,しんたろう,35,参政,NA,新,0,5,0,124636,20.44,1
愛媛,斉藤 博樹,さいとう ひろき,斉藤,博樹,さいとう,ひろき,52,諸派,NA,新,0,5,0,8353,1.37,1
愛媛,川端 佑典,かわばた ゆうすけ,川端,佑典,かわばた,ゆうすけ,35,諸派,NA,新,0,5,0,15150,2.48,1
福岡,冨永 正博,とみなが まさひろ,冨永,正博,とみなが,まさひろ,47,諸派,NA,新,0,13,0,21690,0.95,3
福岡,中田 優子,なかだ ゆうこ,中田,優子,なかだ,ゆうこ,35,参政,NA,新,0,13,1,380592,16.61,3
福岡,村上 成俊,むらかみ なりとし,村上,成俊,むらかみ,なりとし,54,諸派,NA,新,0,13,0,13767,0.6,3
福岡,野田 国義,のだ くによし,野田,国義,のだ,くによし,67,立憲,NA,現,2,13,0,303624,13.25,3
福岡,川元 健一,かわもと けんいち,川元,健一,かわもと,けんいち,45,国民,NA,新,0,13,0,306409,13.37,3
福岡,下野 六太,しもの ろくた,下野,六太,しもの,ろくた,61,公明,自民,現,1,13,1,320391,13.98,3
福岡,伊藤 博文,いとう ひろふみ,伊藤,博文,いとう,ひろふみ,56,維新,NA,新,0,13,0,102557,4.48,3
福岡,森 健太郎,もり けんたろう,森,健太郎,もり,けんたろう,47,保守,NA,新,0,13,0,111196,4.85,3
福岡,沖園 理恵,おきぞの りえ,沖園,理恵,おきぞの,りえ,50,れいわ,NA,新,0,13,0,138374,6.04,3
福岡,那須 敬子,なす けいこ,那須,敬子,なす,けいこ,65,社民,NA,新,0,13,0,45207,1.97,3
福岡,古川 あおい,ふるかわ あおい,古川,あおい,ふるかわ,あおい,34,諸派,NA,新,0,13,0,52862,2.31,3
福岡,松山 政司,まつやま まさじ,松山,政司,まつやま,まさじ,66,自民,NA,現,4,13,1,419082,18.29,3
福岡,山口 湧人,やまぐち ゆうと,山口,湧人,やまぐち,ゆうと,35,共産,NA,新,0,13,0,75596,3.3,3
佐賀,松尾 芳治,まつお よしはる,松尾,芳治,まつお,よしはる,47,諸派,NA,新,0,4,0,7832,2.03,1
佐賀,富永 明美,とみなが あけみ,富永,明美,とみなが,あけみ,51,立憲,NA,新,0,4,0,140907,36.52,1
佐賀,山下 雄平,やました ゆうへい,山下,雄平,やました,ゆうへい,45,自民,公明,現,2,4,1,165688,42.94,1
佐賀,下吹越 優也,しもひごし ゆうや,下吹越,優也,しもひごし,ゆうや,32,参政,NA,新,0,4,0,71437,18.51,1
長崎,筒井 涼介,つつい りょうすけ,筒井,涼介,つつい,りょうすけ,31,共産,NA,新,0,6,0,31687,5.49,1
長崎,古賀 友一郎,こが ゆういちろう,古賀,友一郎,こが,ゆういちろう,57,自民,公明,現,2,6,1,246585,42.74,1
長崎,黒石 隆太,くろいし りゅうた,黒石,隆太,くろいし,りゅうた,33,参政,NA,新,0,6,0,97646,16.92,1
