prefecture,district,name,party,status,votes,voteshare,result,dual
東京,東京２区,石沢　憲之,共産,新,32296,13.24,lose,0
東京,東京２区,犬丸　勝子,諸派,新,4668,1.91,lose,0
東京,東京３区,石原　宏高,自民,前,115623,44.25,win,1
東京,東京３区,松原　仁,民主,前,111353,42.62,PR-win,1
東京,東京３区,香西　克介,共産,新,34295,13.13,lose,0
東京,東京４区,平　将明,自民,前,109377,50.34,win,1
東京,東京４区,藤田　憲彦,民主,元,48861,22.49,lose,1
東京,東京４区,山本　純平,共産,新,38925,17.92,lose,0
東京,東京４区,犬伏　秀一,次世,新,20108,9.25,lose,1
東京,東京５区,若宮　健嗣,自民,前,102424,39.75,win,1
東京,東京５区,手塚　仁雄,民主,元,66255,25.71,lose,1
東京,東京５区,三谷　英弘,無所,前,44103,17.11,lose,0
東京,東京５区,沢井　正代,共産,新,32140,12.47,lose,0
東京,東京５区,ドクター・中松,無所,新,12777,4.96,lose,0
東京,東京６区,越智　隆雄,自民,前,110872,44.1,win,1
東京,東京６区,落合　貴之,維新,新,88915,35.37,PR-win,1
東京,東京６区,岸　武志,共産,新,51595,20.52,lose,0
東京,東京７区,長妻　昭,民主,前,104422,44.61,win,1
東京,東京７区,松本　文明,自民,前,83476,35.66,PR-win,1
東京,東京７区,太田　宜興,共産,新,27866,11.9,lose,0
東京,東京７区,吉田　康一郎,次世,新,18332,7.83,lose,1
東京,東京８区,石原　伸晃,自民,前,116193,47.56,win,1
東京,東京８区,円　より子,民主,新,73348,30.02,lose,1
東京,東京８区,沢田　真吾,共産,新,37788,15.47,lose,0
東京,東京８区,鈴木　達夫,無所,新,16981,6.95,lose,0
東京,東京９区,菅原　一秀,自民,前,123368,51.4,win,1
東京,東京９区,木内　孝胤,維新,元,65809,27.42,PR-win,1
東京,東京９区,原　純子,共産,新,50861,21.19,lose,0
東京,東京１０区,小池　百合子,自民,前,93610,50.73,win,1
東京,東京１０区,江端　貴子,民主,元,44123,23.91,lose,1
東京,東京１０区,今　秀子,共産,新,28453,15.42,lose,0
東京,東京１０区,多ケ谷　亮,生活,新,9663,5.24,lose,1
東京,東京１０区,神谷　ちづ子,次世,新,8688,4.71,lose,0
東京,東京１１区,下村　博文,自民,前,129587,56.06,win,1
東京,東京１１区,山内　金久,共産,新,43083,18.64,lose,0
東京,東京１１区,熊木　美奈子,民主,新,43040,18.62,lose,1
東京,東京１１区,下村　芽生,無所,新,15447,6.68,lose,0
東京,東京１２区,太田　昭宏,公明,前,88499,41.64,win,0
東京,東京１２区,池内　沙織,共産,新,44721,21.04,PR-win,1
東京,東京１２区,青木　愛,生活,前,40067,18.85,lose,1
東京,東京１２区,田母神　俊雄,次世,新,39233,18.46,lose,1
東京,東京１３区,鴨下　一郎,自民,前,113036,55.55,win,1
東京,東京１３区,長谷川　貴子,民主,新,43028,21.14,lose,1
東京,東京１３区,祖父江　元希,共産,新,35518,17.45,lose,0
東京,東京１３区,和田　智之,次世,新,11915,5.86,lose,0
東京,東京１４区,松島　みどり,自民,前,87546,46.56,win,1
東京,東京１４区,木村　剛司,民主,元,63377,33.71,lose,1
東京,東京１４区,阿藤　和之,共産,新,37089,19.73,lose,0
東京,東京１５区,柿沢　未途,維新,前,88507,41.29,win,1
東京,東京１５区,秋元　司,自民,前,85714,39.99,PR-win,1
東京,東京１５区,吉田　年男,共産,新,31384,14.64,lose,0
東京,東京１５区,猪野　隆,無所,新,8759,4.09,lose,0
東京,東京１６区,大西　英男,自民,前,98536,46.25,win,1
東京,東京１６区,初鹿　明博,維新,元,56701,26.62,PR-win,1
東京,東京１６区,大田　朝子,共産,新,36976,17.36,lose,1
東京,東京１６区,石井　義哲,次世,新,11484,5.39,lose,1
東京,東京１６区,岡本　貴士,無所,新,9334,4.38,lose,0
東京,東京１７区,平沢　勝栄,自民,前,125351,59.34,win,1
東京,東京１７区,高橋　美穂,維新,前,46156,21.85,lose,1
東京,東京１７区,新井　杉生,共産,新,39724,18.81,lose,0
東京,東京１８区,土屋　正忠,自民,前,106143,45.81,win,1
東京,東京１８区,菅　直人,民主,前,89877,38.79,PR-win,1
東京,東京１８区,結城　亮,共産,新,35699,15.41,lose,0
東京,東京１９区,松本　洋平,自民,前,107608,40.96,win,1
東京,東京１９区,末松　義規,民主,元,87584,33.34,lose,1
東京,東京１９区,小泉　民未嗣,共産,新,36878,14.04,lose,0
東京,東京１９区,山田　宏,次世,前,30658,11.67,lose,1
東京,東京２０区,木原　誠二,自民,前,110273,52.13,win,1
東京,東京２０区,竹田　光明,民主,元,51362,24.28,lose,1
東京,東京２０区,池田　真理子,共産,新,49902,23.59,lose,0
東京,東京２１区,小田原　潔,自民,前,83984,41.59,win,1
東京,東京２１区,長島　昭久,民主,前,82351,40.78,PR-win,1
東京,東京２１区,吉岡　正史,共産,新,35598,17.63,lose,1
東京,東京２２区,伊藤　達也,自民,前,116757,45.96,win,1
東京,東京２２区,山花　郁夫,民主,元,80014,31.5,lose,1
東京,東京２２区,坂内　淳,共産,新,36980,14.56,lose,0
東京,東京２２区,鹿野　晃,次世,新,20288,7.99,lose,1
東京,東京２３区,小倉　将信,自民,前,104709,41.16,win,1
東京,東京２３区,櫛渕　万里,民主,元,63706,25.04,lose,1
東京,東京２３区,伊藤　俊輔,維新,新,50836,19.98,lose,1
東京,東京２３区,松村　亮佑,共産,新,35166,13.82,lose,0
東京,東京２４区,萩生田　光一,自民,前,126024,51.69,win,1
東京,東京２４区,阿久津　幸彦,民主,元,71212,29.21,lose,1
東京,東京２４区,市川　克宏,共産,新,32887,13.49,lose,0
東京,東京２４区,藤井　義裕,次世,新,13680,5.61,lose,1
東京,東京２５区,井上　信治,自民,前,100081,61.62,win,1
東京,東京２５区,山下　容子,民主,新,32687,20.13,lose,1
東京,東京２５区,井上　宣,共産,新,29650,18.26,lose,0
神奈川,神奈川１区,松本　純,自民,前,113844,52.37,win,1
神奈川,神奈川１区,篠原　豪,維新,新,68061,31.31,PR-win,1
神奈川,神奈川１区,明石　行夫,共産,新,35465,16.32,lose,0
神奈川,神奈川２区,菅　義偉,自民,前,147084,67.71,win,1
神奈川,神奈川２区,三輪　智恵美,共産,新,47119,21.69,lose,0
神奈川,神奈川２区,岡本　幸三,生活,新,23011,10.59,lose,0
神奈川,神奈川３区,小此木　八郎,自民,前,102323,50.19,win,1
神奈川,神奈川３区,勝又　恒一郎,民主,元,50199,24.62,lose,1
神奈川,神奈川３区,木佐木　忠晶,共産,新,31853,15.62,lose,0
神奈川,神奈川３区,横田　光弘,次世,新,19516,9.57,lose,1
神奈川,神奈川４区,浅尾　慶一郎,無所,前,91063,48.12,win,0
神奈川,神奈川４区,山本　朋広,自民,前,61479,32.49,PR-win,1
神奈川,神奈川４区,加藤　勝広,共産,新,20063,10.6,lose,0
神奈川,神奈川４区,荻原　隆宏,無所,新,16633,8.79,lose,0
神奈川,神奈川５区,坂井　学,自民,前,112963,47.76,win,1
神奈川,神奈川５区,水戸　将史,維新,新,56647,23.95,PR-win,1
神奈川,神奈川５区,横山　征吾,共産,新,32075,13.56,lose,0
神奈川,神奈川５区,後藤田　弥生,無所,新,27188,11.49,lose,0
神奈川,神奈川５区,河野　敏久,次世,新,7656,3.24,lose,1
神奈川,神奈川６区,上田　勇,公明,前,78746,39.85,win,0
神奈川,神奈川６区,青柳　陽一郎,維新,前,52368,26.5,PR-win,1
神奈川,神奈川６区,三村　和也,民主,元,43464,22.0,lose,1
神奈川,神奈川６区,北谷　真利,共産,新,23013,11.65,lose,0
神奈川,神奈川７区,鈴木　馨祐,自民,前,101088,44.38,win,1
神奈川,神奈川７区,中谷　一馬,民主,新,50511,22.17,lose,1
神奈川,神奈川７区,豊田　有希,維新,新,39964,17.54,lose,1
神奈川,神奈川７区,大山　奈々子,共産,新,26151,11.48,lose,0
神奈川,神奈川７区,松田　学,次世,前,10073,4.42,lose,1
神奈川,神奈川８区,江田　憲司,維新,前,116189,54.49,win,0
神奈川,神奈川８区,福田　峰之,自民,前,73032,34.25,PR-win,1
神奈川,神奈川８区,若林　靖久,共産,新,24024,11.27,lose,0
神奈川,神奈川９区,笠　浩史,民主,前,64534,37.87,win,1
神奈川,神奈川９区,中山　展宏,自民,前,59991,35.2,PR-win,1
神奈川,神奈川９区,椎名　毅,維新,前,27762,16.29,lose,1
神奈川,神奈川９区,堀口　望,共産,新,18134,10.64,lose,0
神奈川,神奈川１０区,田中　和徳,自民,前,114564,52.2,win,1
神奈川,神奈川１０区,城島　光力,民主,元,66897,30.48,lose,1
神奈川,神奈川１０区,中野　智裕,共産,新,38025,17.32,lose,0
神奈川,神奈川１１区,小泉　進次郎,自民,前,168953,83.28,win,0
神奈川,神奈川１１区,瀬戸　和弘,共産,新,33930,16.72,lose,0
神奈川,神奈川１２区,星野　剛士,自民,前,83327,42.44,win,1
