prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
東京,25,東京25区,山下 容子,やました ようこ,山下,容子,やました,ようこ,58,立憲,NA,新,0,1,0,0,44884,20.76
東京,25,東京25区,井上 信治,いのうえ しんじ,井上,信治,いのうえ,しんじ,48,自民,公明,前,5,1,1,0,112014,51.81
東京,25,東京25区,小沢 鋭仁,おざわ さきひと,小沢,鋭仁,おざわ,さきひと,63,希望,NA,前,8,1,0,0,38286,17.71
神奈川,1,神奈川1区,松本 純,まつもと じゅん,松本,純,まつもと,じゅん,67,自民,公明,前,6,1,1,0,103070,47.82
神奈川,1,神奈川1区,長島 一由,ながしま かずよし,長島,一由,ながしま,かずよし,50,希望,NA,元,1,1,0,0,34433,15.98
神奈川,1,神奈川1区,篠原 豪,しのはら ごう,篠原,豪,しのはら,ごう,42,立憲,NA,前,1,1,0,1,78019,36.2
神奈川,2,神奈川2区,高橋 野枝,たかはし のえ,高橋,野枝,たかはし,のえ,43,立憲,NA,新,0,1,0,0,47191,21.87
神奈川,2,神奈川2区,菅 義偉,すが よしひで,菅,義偉,すが,よしひで,68,自民,公明,前,7,1,1,0,123218,57.11
神奈川,2,神奈川2区,大貫 清文,おおぬき きよふみ,大貫,清文,おおぬき,きよふみ,60,共産,NA,新,0,0,0,0,16699,7.74
神奈川,2,神奈川2区,橋本 久美,はしもと くみ,橋本,久美,はしもと,くみ,48,希望,NA,新,0,1,0,0,28635,13.27
神奈川,3,神奈川3区,壹岐 愛子,いき あいこ,壹岐,愛子,いき,あいこ,32,諸派,NA,新,0,0,0,0,4177,2.07
神奈川,3,神奈川3区,勝又 恒一郎,かつまた こういちろう,勝又,恒一郎,かつまた,こういちろう,54,希望,NA,元,1,1,0,0,46284,22.98
神奈川,3,神奈川3区,小此木 八郎,おこのぎ はちろう,小此木,八郎,おこのぎ,はちろう,52,自民,公明,前,7,1,1,0,101157,50.22
神奈川,3,神奈川3区,伊藤 久美子,いとう くみこ,伊藤,久美子,いとう,くみこ,57,無所,立憲,新,0,0,0,0,26314,13.07
