year,ku,kun,party,name,age,status,nocand,wl,rank,previous,vote,voteshare,eligible,turnout,exp
1996,akita,2,1002,"HATAKEYAMA, KENJIRO",62,2,4,2,2,2,54131,34.3,236702,68.88,8046286
1996,akita,2,305,"KUDO, RYOICHI",69,1,4,0,3,0,11172,7.1,236702,68.88,3164336
1996,akita,2,1003,"MIURA, TAKU",60,1,4,0,4,0,5774,3.7,236702,68.88,3320111
1996,akita,3,800,"MURAOKA, KANEZO",65,2,3,1,1,8,150956,57.9,384319,70.29,12088420
1996,akita,3,1000,"TERADA, HAJIME",25,1,3,0,2,0,85390,32.7,384319,70.29,11184940
1996,akita,3,305,"FUJII, TOSHIO",66,1,3,0,3,0,24405,9.4,384319,70.29,3557027
1996,aomori,1,800,"TSUSHIMA, YUJI",66,2,4,1,1,8,86411,43.6,348457,57.74,15597987
1996,aomori,1,1000,"KUDO, RYUICHI",46,1,4,0,2,0,71999,36.4,348457,57.74,15443884
1996,aomori,1,1002,"IMAMURA, OSAMI",54,2,4,0,3,1,24075,12.2,348457,57.74,11256707
1996,aomori,1,305,"TOGASHI, HIDEO",62,1,4,0,4,0,15548,7.9,348457,57.74,5829402
1996,aomori,2,800,"ETO, AKINORI",41,1,5,1,1,1,63672,41.9,240394,64.49,15793907
1996,aomori,2,1000,"MIMURA, SHINGO",40,1,5,0,2,0,62907,41.4,240394,64.49,8247074
1996,aomori,2,1001,"HERAI, TSUTOMU",43,1,5,0,3,0,11581,7.6,240394,64.49,8032169
1996,aomori,2,1002,"TATEBE, REIKO",55,1,5,0,4,0,8705,5.7,240394,64.49,6788998
1996,aomori,2,305,"SOMA, KAZUTAKA",65,1,5,0,5,0,5235,3.4,240394,64.49,2520732
1996,aomori,3,800,"OOSHIMA, TADAMORI",50,2,3,1,1,5,96628,52.5,259186,71.82,18218734
1996,aomori,3,1000,"TANABU, MASAMI",61,2,3,0,2,6,81460,44.2,259186,71.82,16257935
1996,aomori,3,305,"MATSUHASHI, MITSUO",47,1,3,0,3,0,6119,3.3,259186,71.82,2579132
1996,aomori,4,1000,"KIMURA, TARO",31,1,3,1,1,1,101059,52.4,317873,61.9,15398123
1996,aomori,4,800,"TSUSHIMA, KYOICHI",42,1,3,0,2,0,70590,36.6,317873,61.9,12128399
1996,aomori,4,305,"KIMURA, SHOSHIRO",69,1,3,0,3,0,21034,10.9,317873,61.9,5044841
1996,chiba,1,800,"USUI, HIDEO",57,2,6,1,1,6,77679,42.7,346048,54.02,10934553
1996,chiba,1,1000,"MURAI, MINORU",53,1,6,0,2,0,40094,22,346048,54.02,9235812
1996,chiba,1,1001,"KIDA, NAOKO",46,1,6,0,3,0,31226,17.2,346048,54.02,7600470
1996,chiba,1,305,"NOMURA, YU",51,1,6,0,4,0,25612,14.1,346048,54.02,3957209
1996,chiba,1,1004,"HANZAWA, KATSUO",58,1,6,0,5,0,5206,2.9,346048,54.02,4176112
1996,chiba,1,1003,"MURATA, HIDEYASU",51,1,6,0,6,0,2059,1.1,346048,54.02,.
1996,chiba,2,800,"EGUCHI, KAZUO",59,3,5,1,1,3,75939,37.1,378384,55.71,11791111
1996,chiba,2,1000,"NAKAMURA, KAZUHIRA",59,1,5,0,2,0,60401,29.5,378384,55.71,.
1996,chiba,2,1001,"MORISHIMA, TAKEYASU",28,1,5,0,3,0,34172,16.7,378384,55.71,6035690
1996,chiba,2,305,"AMAKI, SHIGEO",53,1,5,0,4,0,31862,15.6,378384,55.71,4130666
1996,chiba,2,1003,"KAWAMOTO, TATSUYOSHI",40,1,5,0,5,0,2320,1.1,378384,55.71,5738908
1996,chiba,3,1000,"OKAJIMA, MASAYUKI",65,2,5,1,1,4,84846,39.9,392771,55.41,14184772
1996,chiba,3,800,"MATSUNO, HIROKAZU",34,1,5,0,2,0,73254,34.5,392771,55.41,.
1996,chiba,3,305,"CHIBA, MICHIKO",58,1,5,0,3,0,30691,14.4,392771,55.41,4801243
